time	11Hz	32Hz	54Hz	75Hz	97Hz	118Hz	140Hz	161Hz	183Hz	205Hz	226Hz	248Hz	269Hz	291Hz	312Hz	334Hz	366Hz	409Hz	452Hz	495Hz	538Hz	581Hz	624Hz	668Hz	732Hz	818Hz	904Hz	991Hz	1077Hz	1163Hz	1249Hz	1335Hz	1464Hz	1637Hz	1809Hz	1981Hz	2153Hz	2326Hz	2498Hz	2670Hz	2929Hz	3273Hz	3618Hz	3962Hz	4307Hz	4651Hz	4996Hz	5340Hz	5857Hz	6546Hz	7235Hz	7924Hz	8613Hz	9302Hz	9991Hz	10680Hz	11714Hz	13092Hz	14470Hz	15848Hz	17227Hz	18605Hz	19983Hz	21361Hz
0.441	0.408	3.193	4.328	4.403	3.803	3.959	4.106	3.494	3.355	3.459	2.964	2.715	2.362	1.551	2.222	2.591	2.278	2.415	1.449	1.487	1.010	1.121	1.656	2.015	1.201	0.731	1.139	0.820	0.471	0.536	0.374	0.296	0.355	0.388	0.200	0.455	0.144	0.113	0.218	0.156	0.147	0.083	0.102	0.090	0.124	0.094	0.080	0.162	0.100	0.089	0.084	0.083	0.089	0.076	0.069	0.068	0.041	0.041	0.030	0.012	0.002	0.000	0.000	0.000
0.452	0.393	3.166	4.298	4.380	3.744	3.864	4.025	3.336	3.219	3.501	3.150	2.698	1.998	1.656	2.437	2.601	2.563	2.674	1.891	1.768	1.334	1.033	1.314	1.748	0.657	0.637	0.980	0.800	0.356	0.555	0.466	0.401	0.345	0.373	0.193	0.363	0.076	0.070	0.202	0.076	0.074	0.047	0.045	0.062	0.090	0.057	0.064	0.146	0.071	0.054	0.064	0.045	0.065	0.062	0.061	0.050	0.036	0.040	0.030	0.010	0.006	0.000	0.000	0.000
0.464	0.629	3.140	4.251	4.341	3.691	3.753	3.946	3.228	3.098	3.363	2.887	2.660	2.352	1.311	1.922	2.442	2.495	2.507	1.780	1.794	1.610	1.078	1.273	1.670	0.831	0.525	0.680	0.505	0.487	0.437	0.452	0.391	0.307	0.267	0.271	0.442	0.089	0.073	0.155	0.072	0.074	0.047	0.041	0.049	0.071	0.044	0.045	0.106	0.062	0.054	0.078	0.051	0.060	0.053	0.057	0.047	0.040	0.039	0.031	0.009	0.007	0.000	0.000	0.000
0.476	0.453	3.060	4.185	4.272	3.635	3.643	3.791	3.213	3.140	3.319	3.002	2.772	2.278	1.738	2.260	2.399	2.201	2.178	1.636	1.798	1.581	1.003	1.139	1.423	0.910	0.564	0.648	0.582	0.483	0.408	0.321	0.386	0.461	0.229	0.232	0.695	0.098	0.059	0.180	0.085	0.075	0.046	0.042	0.043	0.057	0.037	0.039	0.097	0.057	0.045	0.063	0.055	0.067	0.054	0.056	0.041	0.045	0.040	0.026	0.009	0.004	0.000	0.000	0.000
0.487	0.587	2.986	4.098	4.171	3.503	3.476	3.604	3.002	2.962	3.158	2.835	2.699	2.393	1.709	1.941	2.202	1.974	1.928	1.400	1.505	1.393	0.840	1.124	1.075	0.799	0.689	0.765	0.590	0.416	0.358	0.235	0.352	0.455	0.327	0.163	0.633	0.119	0.066	0.180	0.082	0.066	0.043	0.044	0.058	0.071	0.036	0.053	0.122	0.067	0.045	0.046	0.051	0.060	0.060	0.061	0.033	0.043	0.039	0.022	0.011	0.003	0.000	0.000	0.000
0.499	0.797	3.058	3.982	4.005	3.398	3.352	3.429	2.727	2.674	3.076	2.723	2.651	2.588	1.889	1.975	2.597	2.557	2.288	1.439	1.704	1.823	1.849	1.700	1.705	1.241	1.781	2.135	1.799	1.301	0.867	1.819	2.013	1.141	1.560	1.665	1.526	1.547	1.550	1.464	1.909	1.207	1.074	0.989	0.496	0.640	0.997	0.780	0.896	0.826	0.658	0.566	0.473	0.469	0.333	0.462	0.321	0.242	0.229	0.105	0.056	0.011	0.001	0.000	0.000
0.510	2.015	3.590	4.040	3.732	3.555	3.408	3.012	3.298	3.429	3.622	3.947	4.047	3.906	3.667	3.568	3.552	3.306	3.110	2.548	2.725	3.058	2.941	3.005	2.672	1.937	2.755	2.823	2.772	2.156	1.356	2.554	2.892	1.958	2.363	2.375	2.320	2.543	2.599	2.446	2.962	2.379	1.819	1.870	1.359	1.568	1.886	1.466	1.692	1.536	1.201	1.146	0.971	0.982	0.795	0.873	0.759	0.550	0.525	0.341	0.169	0.049	0.012	0.000	0.000
0.522	2.916	3.993	4.198	4.321	4.530	4.412	4.169	4.137	4.372	4.599	4.541	4.118	3.757	3.712	3.502	3.250	3.018	2.945	2.732	2.719	2.993	2.722	3.058	2.701	1.964	2.542	2.287	2.492	2.112	1.584	2.237	2.541	2.053	2.180	2.136	2.256	2.504	2.453	2.618	2.936	2.383	1.980	1.799	1.787	1.815	1.868	1.587	1.556	1.672	1.550	1.355	1.260	1.288	1.128	0.934	0.960	0.691	0.554	0.437	0.234	0.120	0.027	0.000	0.000
0.534	3.437	4.341	4.474	4.697	4.902	4.495	4.010	3.640	4.087	4.458	4.103	3.411	2.829	2.618	2.204	1.972	2.278	2.342	1.746	1.256	1.838	2.387	2.163	1.907	1.640	1.416	1.574	1.584	1.400	2.013	2.134	1.970	2.061	1.960	1.812	2.099	2.043	2.282	2.268	2.496	2.110	1.901	1.589	2.024	1.640	1.954	1.850	1.569	1.794	1.807	1.341	1.386	1.385	1.230	0.931	0.916	0.779	0.597	0.445	0.274	0.156	0.027	0.000	0.000
0.545	3.317	4.150	4.818	5.080	4.724	3.914	3.643	3.683	3.870	3.839	3.092	2.803	2.634	2.018	2.346	2.635	2.377	2.378	2.042	1.605	1.262	1.490	1.721	2.086	1.499	1.740	2.220	1.879	2.134	2.425	2.050	2.302	2.181	1.967	1.662	2.203	2.297	2.318	2.300	2.154	2.324	1.875	1.746	1.771	1.844	2.123	1.978	1.835	1.943	1.731	1.534	1.422	1.248	1.361	0.872	0.909	0.857	0.714	0.425	0.292	0.126	0.013	0.000	0.000
