time	11Hz	32Hz	54Hz	75Hz	97Hz	118Hz	140Hz	161Hz	183Hz	205Hz	226Hz	248Hz	269Hz	291Hz	312Hz	334Hz	366Hz	409Hz	452Hz	495Hz	538Hz	581Hz	624Hz	668Hz	732Hz	818Hz	904Hz	991Hz	1077Hz	1163Hz	1249Hz	1335Hz	1464Hz	1637Hz	1809Hz	1981Hz	2153Hz	2326Hz	2498Hz	2670Hz	2929Hz	3273Hz	3618Hz	3962Hz	4307Hz	4651Hz	4996Hz	5340Hz	5857Hz	6546Hz	7235Hz	7924Hz	8613Hz	9302Hz	9991Hz	10680Hz	11714Hz	13092Hz	14470Hz	15848Hz	17227Hz	18605Hz	19983Hz	21361Hz
0.191	1.842	2.811	2.974	3.655	4.309	4.138	3.543	3.255	3.380	3.658	3.294	2.074	1.466	2.540	3.024	2.898	3.075	2.604	1.580	1.876	1.917	2.341	3.620	2.782	2.568	1.972	2.051	2.398	2.658	1.489	1.815	1.413	1.322	1.527	1.337	1.512	1.233	1.202	1.349	1.113	1.178	1.305	0.902	1.320	1.250	0.949	0.823	0.992	0.765	0.671	0.519	0.645	0.521	0.448	0.396	0.410	0.344	0.250	0.187	0.123	0.064	0.000	0.000	0.000
0.197	1.907	2.823	3.188	3.733	4.269	3.957	3.317	3.438	3.539	3.856	3.639	2.804	2.008	2.507	2.987	2.776	3.188	2.836	1.561	1.841	2.033	2.452	3.721	2.884	2.348	1.814	1.876	2.292	2.711	1.512	1.686	1.238	1.132	1.380	1.171	1.434	1.457	1.256	1.112	0.990	1.033	1.372	0.904	1.232	1.181	0.988	0.766	1.001	0.811	0.649	0.533	0.626	0.547	0.481	0.398	0.388	0.328	0.240	0.185	0.118	0.074	0.000	0.000	0.000
0.203	1.781	2.709	3.201	3.589	4.180	4.086	3.559	3.378	3.458	3.941	3.901	3.341	2.710	2.867	3.141	2.868	3.275	2.994	1.475	1.682	2.107	2.480	3.715	2.816	2.090	1.738	1.677	2.340	2.700	1.529	1.501	1.044	1.010	1.233	1.100	1.397	1.587	1.253	0.870	0.970	0.919	1.445	0.940	1.299	1.106	0.910	0.795	1.084	0.820	0.650	0.591	0.640	0.563	0.477	0.387	0.356	0.309	0.233	0.183	0.114	0.074	0.000	0.000	0.000
0.208	1.421	2.437	3.127	3.590	4.202	4.238	3.721	3.237	3.358	3.930	3.952	3.506	3.110	3.262	3.355	2.999	3.224	2.951	1.732	1.784	2.247	2.439	3.600	2.626	2.007	2.082	1.542	2.330	2.575	1.653	1.580	1.170	1.077	1.299	1.085	1.342	1.551	1.234	0.778	0.964	0.919	1.428	0.976	1.407	1.059	0.745	0.784	1.091	0.832	0.678	0.623	0.654	0.566	0.445	0.386	0.304	0.304	0.238	0.187	0.110	0.063	0.000	0.000	0.000
0.214	1.154	1.958	3.010	3.914	4.415	4.193	3.551	3.365	3.480	3.846	3.761	3.370	3.120	3.351	3.519	2.864	2.960	2.784	1.903	1.965	2.341	2.255	3.409	2.431	2.076	2.311	1.663	2.342	2.460	1.816	1.815	1.342	1.249	1.415	1.130	1.258	1.473	1.180	0.776	0.984	0.955	1.325	0.952	1.431	1.124	0.635	0.752	1.021	0.846	0.674	0.612	0.633	0.580	0.413	0.405	0.288	0.312	0.246	0.187	0.111	0.047	0.000	0.000	0.000
0.220	1.235	1.402	2.876	4.099	4.567	4.155	3.397	3.332	3.440	3.733	3.360	2.924	2.852	3.225	3.534	3.057	3.046	2.847	1.990	2.143	2.385	1.968	3.256	2.296	2.113	2.336	2.064	2.325	2.405	1.863	2.027	1.430	1.324	1.555	1.232	1.339	1.325	1.173	0.796	1.037	1.001	1.162	0.981	1.334	1.146	0.649	0.752	0.923	0.831	0.626	0.571	0.615	0.631	0.361	0.426	0.295	0.314	0.252	0.170	0.112	0.033	0.000	0.000	0.000
0.226	1.282	1.326	2.749	4.102	4.603	4.306	3.651	3.260	3.459	3.765	3.321	2.691	2.574	3.085	3.427	3.102	3.099	2.970	1.980	2.354	2.586	2.017	3.169	2.313	2.135	2.148	2.236	2.161	2.351	1.937	2.098	1.596	1.319	1.644	1.349	1.516	1.228	1.259	0.873	1.071	1.044	1.102	1.002	1.129	1.146	0.684	0.782	0.834	0.765	0.616	0.590	0.627	0.717	0.332	0.430	0.314	0.299	0.247	0.159	0.110	0.024	0.000	0.000	0.000
0.232	1.218	1.327	2.502	3.963	4.557	4.282	3.612	3.546	3.763	3.984	3.587	2.698	2.782	2.996	3.211	2.849	2.815	2.879	1.863	2.454	2.662	2.120	3.111	2.357	2.283	2.009	2.179	1.985	2.254	2.025	2.070	1.947	1.347	2.017	1.614	1.586	1.276	1.378	1.165	1.267	1.089	1.192	1.002	0.914	1.170	0.733	0.804	0.750	0.720	0.622	0.618	0.658	0.730	0.407	0.419	0.300	0.268	0.225	0.168	0.112	0.020	0.000	0.000	0.000
0.238	1.409	1.906	2.482	3.753	4.498	4.192	3.441	3.635	3.802	4.140	3.955	3.453	3.331	3.161	3.211	2.970	2.636	2.624	1.940	2.372	2.590	2.223	3.050	2.483	2.551	1.958	2.018	1.877	2.033	2.048	1.966	2.117	1.576	2.424	1.746	1.505	1.367	1.384	1.446	1.552	1.186	1.249	0.977	0.944	1.165	0.740	0.754	0.677	0.685	0.649	0.642	0.649	0.658	0.491	0.424	0.289	0.236	0.205	0.175	0.119	0.021	0.000	0.000	0.000
0.243	1.380	2.400	2.944	3.846	4.562	4.444	3.779	3.393	3.551	4.111	4.189	3.985	3.822	3.633	3.475	3.060	2.527	2.530	1.980	2.129	2.311	2.134	2.893	2.607	2.674	2.029	1.952	1.780	1.887	1.984	1.870	2.115	1.786	2.644	1.726	1.321	1.337	1.254	1.556	1.685	1.247	1.197	0.932	1.081	1.174	0.760	0.674	0.692	0.693	0.674	0.637	0.617	0.562	0.529	0.404	0.302	0.210	0.190	0.171	0.123	0.027	0.000	0.000	0.000
0.249	1.263	2.557	3.314	4.165	4.725	4.582	3.815	2.995	3.282	3.934	4.147	4.174	4.062	3.811	3.577	2.935	2.296	2.621	2.078	1.888	1.897	1.706	2.657	2.573	2.606	2.123	2.052	1.869	2.081	2.201	2.184	2.209	1.797	2.669	1.576	1.179	1.125	1.046	1.538	1.651	1.279	1.122	0.895	1.111	1.153	0.784	0.625	0.683	0.676	0.678	0.613	0.594	0.498	0.514	0.375	0.317	0.202	0.176	0.161	0.121	0.037	0.000	0.000	0.000
0.255	1.459	2.630	3.418	4.289	4.819	4.571	3.623	2.986	3.282	3.702	3.808	4.094	4.047	3.662	3.514	2.891	2.162	2.568	2.186	1.894	1.659	1.495	2.646	2.445	2.501	2.207	2.269	1.950	2.151	2.372	2.316	2.280	1.712	2.593	1.379	1.214	0.900	0.955	1.438	1.594	1.275	1.038	0.966	1.029	1.122	0.784	0.615	0.653	0.658	0.671	0.590	0.582	0.479	0.482	0.350	0.320	0.231	0.172	0.149	0.114	0.048	0.000	0.000	0.000
0.261	1.166	2.699	3.274	4.169	4.811	4.573	3.539	2.799	3.129	3.489	3.438	3.908	3.892	3.442	3.440	2.775	2.070	2.486	2.163	1.928	1.519	1.635	2.780	2.437	2.450	2.244	2.325	2.009	2.170	2.366	2.319	2.263	1.605	2.551	1.331	1.282	1.012	1.057	1.352	1.658	1.301	1.007	1.040	0.963	1.065	0.727	0.617	0.618	0.677	0.661	0.578	0.583	0.471	0.464	0.360	0.309	0.264	0.172	0.138	0.105	0.055	0.000	0.000	0.000
0.267	1.197	2.651	3.050	4.023	4.789	4.614	3.519	2.621	3.194	3.525	3.462	3.799	3.928	3.646	3.436	2.824	2.328	2.622	1.957	1.892	1.524	1.669	2.852	2.268	2.493	2.531	2.270	1.909	2.321	2.331	2.227	2.182	1.502	2.522	1.282	1.299	1.240	1.178	1.386	1.772	1.284	1.053	1.100	0.947	1.007	0.636	0.554	0.699	0.686	0.662	0.581	0.552	0.464	0.485	0.384	0.309	0.284	0.170	0.127	0.099	0.054	0.000	0.000	0.000
